transaction_id,basket_id,transaction_date,transaction_time,customer_id,store_id,product_id,quantity,unit_selling_price,discount_amount,sales_amount,day_of_week
T000000001,B00000001,2024-09-14,22:31:19,C01673,S019,P0133,1,135,15,135,土
T000000002,B00000001,2024-09-14,22:31:19,C01673,S019,P0108,2,200,0,400,土
T000000003,B00000001,2024-09-14,22:31:19,C01673,S019,P0023,1,150,0,150,土
T000000004,B00000002,2025-07-08,17:04:24,C00119,S011,P0107,1,200,0,200,火
T000000005,B00000002,2025-07-08,17:04:24,C00119,S011,P0106,1,280,0,280,火
T000000006,B00000003,2025-10-10,22:25:01,C01228,S018,P0136,1,350,0,350,金
T000000007,B00000003,2025-10-10,22:25:01,C01228,S018,P0183,1,280,0,280,金
T000000008,B00000003,2025-10-10,22:25:01,C01228,S018,P0005,3,140,0,420,金
T000000009,B00000004,2025-04-09,09:36:56,C01647,S004,P0174,1,128,32,128,水
T000000010,B00000004,2025-04-09,09:36:56,C01647,S004,P0156,1,220,0,220,水
T000000011,B00000004,2025-04-09,09:36:56,C01647,S004,P0036,1,220,0,220,水
T000000012,B00000005,2025-04-21,13:59:33,C01948,S009,P0097,3,220,0,660,月
T000000013,B00000005,2025-04-21,13:59:33,C01948,S009,P0054,1,120,30,120,月
T000000014,B00000006,2025-08-19,15:51:33,C00915,S011,P0109,1,300,0,300,火
T000000015,B00000006,2025-08-19,15:51:33,C00915,S011,P0106,1,280,0,280,火
T000000016,B00000007,2024-11-18,13:37:39,C01765,S010,P0108,3,180,20,540,月
T000000017,B00000008,2025-01-20,19:28:01,C01681,S016,P0109,1,300,0,300,月
T000000018,B00000008,2025-01-20,19:28:01,C01681,S016,P0106,1,266,14,266,月
T000000019,B00000009,2026-02-09,14:01:38,C00682,S002,P0107,1,200,0,200,月
T000000020,B00000009,2026-02-09,14:01:38,C00682,S002,P0106,1,224,56,224,月
T000000021,B00000010,2025-11-01,19:53:17,C00993,S019,P0070,1,350,0,350,土
T000000022,B00000011,2024-04-13,12:48:44,C00951,S007,P0085,1,300,0,300,土
T000000023,B00000011,2024-04-13,12:48:44,C00951,S007,P0029,1,160,0,160,土
T000000024,B00000011,2024-04-13,12:48:44,C00951,S007,P0103,2,500,0,1000,土
T000000025,B00000011,2024-04-13,12:48:44,C00951,S007,P0159,2,700,0,1400,土
T000000026,B00000011,2024-04-13,12:48:44,C00951,S007,P0130,1,280,0,280,土
T000000027,B00000012,2025-12-27,19:22:58,C01786,S002,P0114,1,230,0,230,土
T000000028,B00000012,2025-12-27,19:22:58,C01786,S002,P0011,1,130,0,130,土
T000000029,B00000013,2025-09-29,17:18:34,C01524,S015,P0127,3,550,0,1650,月
T000000030,B00000013,2025-09-29,17:18:34,C01524,S015,P0014,1,160,0,160,月
T000000031,B00000014,2024-09-23,14:53:38,C00008,S017,P0006,1,110,0,110,月
T000000032,B00000014,2024-09-23,14:53:38,C00008,S017,P0085,1,300,0,300,月
T000000033,B00000014,2024-09-23,14:53:38,C00008,S017,P0018,3,128,22,384,月
T000000034,B00000014,2024-09-23,14:53:38,C00008,S017,P0076,1,350,0,350,月
T000000035,B00000015,2025-11-28,10:53:30,C01550,S009,P0108,1,200,0,200,金
T000000036,B00000015,2025-11-28,10:53:30,C01550,S009,P0106,1,280,0,280,金
T000000037,B00000016,2026-01-02,13:59:57,C01980,S003,P0126,1,350,0,350,金
T000000038,B00000016,2026-01-02,13:59:57,C01980,S003,P0104,1,500,0,500,金
T000000039,B00000016,2026-01-02,13:59:57,C01980,S003,P0065,1,150,0,150,金
T000000040,B00000017,2025-05-05,12:46:09,C01901,S005,P0183,2,280,0,560,月
T000000041,B00000018,2025-10-08,17:20:52,C00116,S002,P0052,1,280,0,280,水
T000000042,B00000018,2025-10-08,17:20:52,C00116,S002,P0041,1,170,0,170,水
T000000043,B00000019,2024-05-12,15:20:12,C01285,S015,P0127,1,550,0,550,日
T000000044,B00000019,2024-05-12,15:20:12,C01285,S015,P0110,1,280,0,280,日
T000000045,B00000019,2024-05-12,15:20:12,C01285,S015,P0175,1,160,0,160,日
T000000046,B00000020,2025-09-23,13:48:45,C01190,S010,P0013,1,130,0,130,火
T000000047,B00000020,2025-09-23,13:48:45,C01190,S010,P0007,2,110,0,220,火
T000000048,B00000020,2025-09-23,13:48:45,C01190,S010,P0027,1,100,0,100,火
T000000049,B00000020,2025-09-23,13:48:45,C01190,S010,P0049,1,150,0,150,火
T000000050,B00000021,2024-09-01,08:47:05,C00235,S020,P0107,1,200,0,200,日
