inventory_date,store_id,product_id,stock_quantity,reorder_point,safety_stock,days_of_supply,last_replenishment_date
2026-02-28,S001,P0001,2,2,1,4.6,2026-02-22
2026-02-28,S001,P0002,2,2,1,11.5,2026-02-19
2026-02-28,S001,P0003,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0004,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0005,4,2,1,9.6,2026-02-24
2026-02-28,S001,P0006,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0007,1,2,1,5.0,2026-02-20
2026-02-28,S001,P0008,2,2,1,6.3,2026-02-25
2026-02-28,S001,P0009,1,2,1,6.6,2026-02-28
2026-02-28,S001,P0010,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0011,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0012,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0013,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0014,1,2,1,2.6,2026-02-22
2026-02-28,S001,P0015,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0016,2,2,1,10.7,2026-02-27
2026-02-28,S001,P0017,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0018,2,2,1,4.7,2026-02-28
2026-02-28,S001,P0019,2,2,1,4.2,2026-02-22
2026-02-28,S001,P0020,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0021,1,2,1,2.3,2026-02-25
2026-02-28,S001,P0022,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0023,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0024,4,2,1,10.6,2026-02-25
2026-02-28,S001,P0025,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0026,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0027,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0028,0,2,1,0.0,2026-02-19
2026-02-28,S001,P0029,2,2,1,4.8,2026-02-26
2026-02-28,S001,P0030,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0031,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0032,1,2,1,2.1,2026-02-23
2026-02-28,S001,P0033,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0034,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0035,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0036,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0037,1,2,1,7.5,2026-02-23
2026-02-28,S001,P0038,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0039,0,2,1,0.0,2026-02-19
2026-02-28,S001,P0040,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0041,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0042,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0043,1,2,1,4.2,2026-02-22
2026-02-28,S001,P0044,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0045,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0046,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0047,2,2,1,7.5,2026-02-18
2026-02-28,S001,P0048,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0049,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0050,1,2,1,3.7,2026-02-27
2026-02-28,S001,P0051,0,2,1,0.0,2026-02-18
