product_id,jan_code,product_name,brand_name,manufacturer_name,category_large,category_medium,category_small,unit_price,cost_price,unit_volume,unit_measure,launch_date,product_description,is_new_product
P0001,49938102824,お～いお茶 緑茶 525ml,お～いお茶,伊藤園,飲料,茶系飲料,緑茶,140,77,525,ml,2008-04-08,国産茶葉100%使用の緑茶飲料,False
P0002,49282892679,お～いお茶 濃い茶 525ml,お～いお茶,伊藤園,飲料,茶系飲料,緑茶,140,93,525,ml,2017-02-19,カテキン2倍の濃い緑茶,False
P0003,49653021520,伊右衛門 525ml,伊右衛門,サントリー,飲料,茶系飲料,緑茶,140,77,525,ml,2006-04-17,京都福寿園の茶匠が厳選した緑茶,False
P0004,49889071434,綾鷹 525ml,綾鷹,コカ・コーラ,飲料,茶系飲料,緑茶,140,90,525,ml,2022-11-23,急須でいれたような味わいの緑茶,False
P0005,49814267873,生茶 525ml,生茶,キリン,飲料,茶系飲料,緑茶,140,82,525,ml,2018-05-26,生茶葉抽出物を使用した緑茶,False
P0006,49108513615,サントリー天然水 550ml,天然水,サントリー,飲料,水・炭酸水,ミネラルウォーター,110,73,550,ml,2010-05-05,南アルプスの天然水,False
P0007,49382216514,い・ろ・は・す 555ml,い・ろ・は・す,コカ・コーラ,飲料,水・炭酸水,ミネラルウォーター,110,62,555,ml,2012-02-12,厳選された日本の天然水,False
P0008,49550825333,クリスタルガイザー 500ml,クリスタルガイザー,大塚食品,飲料,水・炭酸水,ミネラルウォーター,90,61,500,ml,2023-08-18,アメリカ産ナチュラルミネラルウォーター,False
P0009,49263617201,サントリー天然水 スパークリング 500ml,天然水,サントリー,飲料,水・炭酸水,炭酸水,120,67,500,ml,2009-11-20,天然水使用の炭酸水,False
P0010,49574004150,ウィルキンソン タンサン 500ml,ウィルキンソン,アサヒ飲料,飲料,水・炭酸水,炭酸水,110,73,500,ml,2001-11-08,強炭酸の本格炭酸水,False
P0011,49479302307,ジョージア エメラルドマウンテン 185g,ジョージア,コカ・コーラ,飲料,コーヒー飲料,缶コーヒー,130,90,185,g,2003-07-09,エメラルドマウンテン豆使用の缶コーヒー,False
P0012,49694296977,BOSS レインボーマウンテン 185g,BOSS,サントリー,飲料,コーヒー飲料,缶コーヒー,130,75,185,g,2011-04-22,ブラジル最高級豆使用の缶コーヒー,False
P0013,49449932169,FIRE 挽きたて微糖 185g,FIRE,キリン,飲料,コーヒー飲料,缶コーヒー,130,84,185,g,2005-09-24,挽きたて豆の香り微糖コーヒー,False
P0014,49420873677,タリーズコーヒー バリスタズブラック 390ml,タリーズ,伊藤園,飲料,コーヒー飲料,ペットボトルコーヒー,160,100,390,ml,2008-11-23,タリーズ監修のブラックコーヒー,False
P0015,49830004598,クラフトボス ブラック 500ml,BOSS,サントリー,飲料,コーヒー飲料,ペットボトルコーヒー,160,106,500,ml,2024-01-08,すっきり飲めるペットボトルコーヒー,False
P0016,49142076168,午後の紅茶 ストレートティー 500ml,午後の紅茶,キリン,飲料,茶系飲料,紅茶,150,92,500,ml,2002-04-19,スリランカ産茶葉使用のストレートティー,False
P0017,49512454483,午後の紅茶 ミルクティー 500ml,午後の紅茶,キリン,飲料,茶系飲料,紅茶,150,99,500,ml,2012-11-15,まろやかなミルクティー,False
P0018,49287265339,リプトン レモンティー 500ml,リプトン,サントリー,飲料,茶系飲料,紅茶,150,86,500,ml,2023-09-18,爽やかなレモンティー,False
P0019,49444388019,十六茶 630ml,十六茶,アサヒ飲料,飲料,茶系飲料,ブレンド茶,150,105,630,ml,2012-06-08,16素材をブレンドしたカフェインゼロのお茶,False
P0020,49281319348,爽健美茶 600ml,爽健美茶,コカ・コーラ,飲料,茶系飲料,ブレンド茶,150,95,600,ml,2024-01-28,すっきりブレンド茶,False
P0021,49243713504,コカ・コーラ 500ml,コカ・コーラ,コカ・コーラ,飲料,炭酸飲料,コーラ,150,98,500,ml,2021-07-20,世界中で愛される炭酸飲料,False
P0022,49183267304,ペプシコーラ 490ml,ペプシ,サントリー,飲料,炭酸飲料,コーラ,150,92,490,ml,2014-09-09,爽快な味わいのコーラ,False
P0023,49825121188,三ツ矢サイダー 500ml,三ツ矢サイダー,アサヒ飲料,飲料,炭酸飲料,サイダー,150,99,500,ml,2003-11-18,磨かれた水と果実で作るサイダー,False
P0024,49449736573,ファンタ グレープ 500ml,ファンタ,コカ・コーラ,飲料,炭酸飲料,フルーツ炭酸,150,85,500,ml,2013-03-15,グレープ味の炭酸飲料,False
P0025,49104255315,C.C.レモン 500ml,C.C.レモン,サントリー,飲料,炭酸飲料,フルーツ炭酸,150,107,500,ml,2024-03-17,レモン70個分のビタミンC,False
