store_id,store_name,prefecture,city,store_format,sales_floor_area,opening_date
S001,フーデックスマート 新宿店,東京都,新宿区,SM,1500,2010-04-01
S002,フーデックスマート 渋谷店,東京都,渋谷区,SM,1200,2012-07-15
S003,フーデックスマート 池袋店,東京都,豊島区,SM,1800,2008-11-01
S004,フーデックスマート 横浜店,神奈川県,横浜市,SM,2000,2011-03-20
S005,フーデックスマート 川崎店,神奈川県,川崎市,SM,1400,2015-06-01
S006,フーデックスマート 大宮店,埼玉県,さいたま市,SM,1600,2013-09-10
S007,フーデックスマート 船橋店,千葉県,船橋市,SM,1500,2014-01-15
S008,フーデックスマート 梅田店,大阪府,大阪市,SM,1700,2009-05-01
S009,フーデックスマート 難波店,大阪府,大阪市,SM,1300,2016-08-20
S010,フーデックスマート 名古屋店,愛知県,名古屋市,GMS,3000,2007-10-01
S011,フーデックスマート 栄店,愛知県,名古屋市,SM,1400,2017-02-01
S012,フーデックスマート 博多店,福岡県,福岡市,SM,1500,2011-12-01
S013,フーデックスマート 札幌店,北海道,札幌市,GMS,2500,2010-06-15
S014,フーデックスマート 仙台店,宮城県,仙台市,SM,1600,2013-04-01
S015,フーデックスマート 広島店,広島県,広島市,SM,1300,2015-10-01
S016,フーデックスマート 吉祥寺店,東京都,武蔵野市,SM,1100,2018-03-01
S017,フーデックスマート 町田店,東京都,町田市,SM,1400,2016-05-15
S018,フーデックスマート 柏店,千葉県,柏市,SM,1500,2014-08-01
S019,フーデックスマート 神戸店,兵庫県,神戸市,SM,1600,2012-11-01
S020,フーデックスマート 京都店,京都府,京都市,SM,1200,2019-01-15
